Customer ID,Age,age_band,Gender,Location,region,Item Purchased,Category,Size,Color,Season,Purchase Amount (USD),annual_frequency,Frequency of Purchases,Previous Purchases,Review Rating,Subscription Status,subscription_flag,Shipping Type,Payment Method,Discount Applied,Promo Code Used,promo_flag,estimated_annual_spend,value_tier,spend_rank_pctile,purchase_frequency_score,tenure_proxy,tenure_proxy_norm,satisfaction_flag,promo_dependency_score,promo_sensitivity_group,loyalty_A,loyalty_B,loyalty_score,customer_segment
1,55,46-55,Male,Kentucky,South,Blouse,Clothing,L,Gray,Winter,53,26,Fortnightly,14,3.1,Yes,1,Express,Venmo,Yes,Yes,1,1378,Gold,0.7093589743589743,0.49019607843137253,14,0.2653061224489796,0,0.37454981992797115,Medium,0.38991596638655457,0.28887555022008804,0.38991596638655457,At-Risk
2,19,18-25,Male,Maine,Northeast,Sweater,Clothing,L,Maroon,Winter,64,26,Fortnightly,2,3.1,Yes,1,Express,Cash,Yes,Yes,1,1664,Platinum,0.7541025641025642,0.49019607843137253,2,0.02040816326530612,0,0.4993997599039615,High,0.3042016806722689,0.22765106042416966,0.3042016806722689,Discount Hunters
3,50,46-55,Male,Massachusetts,Northeast,Jeans,Clothing,S,Maroon,Spring,73,52,Weekly,23,3.1,Yes,1,Free Shipping,Credit Card,Yes,Yes,1,3796,Platinum,0.9547435897435897,1.0,23,0.4489795918367347,0,0.0,Low,0.6071428571428571,0.46224489795918366,0.6071428571428571,Champions
4,21,18-25,Male,Rhode Island,Northeast,Sandals,Footwear,M,Maroon,Spring,90,52,Weekly,49,3.5,Yes,1,Next Day Air,PayPal,Yes,Yes,1,4680,Platinum,0.9834615384615385,1.0,49,0.9795918367346939,0,0.0,Low,0.7928571428571428,0.5948979591836735,0.7928571428571428,Champions
5,45,36-45,Male,Oregon,West,Blouse,Clothing,M,Turquoise,Spring,49,1,Annually,31,2.7,Yes,1,Free Shipping,PayPal,Yes,Yes,1,49,Bronze,0.05525641025641025,0.0,31,0.6122448979591837,0,0.3877551020408163,Medium,0.36428571428571427,0.25306122448979596,0.36428571428571427,At-Risk
6,46,46-55,Male,Wyoming,West,Sneakers,Footwear,M,White,Summer,20,52,Weekly,14,2.9,Yes,1,Standard,Venmo,Yes,Yes,1,1040,Gold,0.6356410256410256,1.0,14,0.2653061224489796,0,0.0,Low,0.5428571428571428,0.4163265306122449,0.5428571428571428,Champions
7,63,56-65,Male,Montana,West,Shirt,Clothing,M,Gray,Fall,85,4,Quarterly,49,3.2,Yes,1,Free Shipping,Cash,Yes,Yes,1,340,Silver,0.39807692307692305,0.058823529411764705,49,0.9795918367346939,0,0.01920768307322931,Low,0.5105042016806722,0.3596038415366146,0.5105042016806722,At-Risk
8,27,26-35,Male,Louisiana,South,Shorts,Clothing,L,Charcoal,Winter,34,52,Weekly,19,3.2,Yes,1,Free Shipping,Credit Card,Yes,Yes,1,1768,Platinum,0.7753846153846153,1.0,19,0.3673469387755102,0,0.0,Low,0.5785714285714285,0.4418367346938775,0.5785714285714285,Champions
9,26,26-35,Male,West Virginia,South,Coat,Outerwear,L,Silver,Summer,97,1,Annually,8,2.6,Yes,1,Express,Venmo,Yes,Yes,1,97,Bronze,0.15871794871794873,0.0,8,0.14285714285714285,0,0.8571428571428572,High,0.19999999999999998,0.13571428571428573,0.19999999999999998,Discount Hunters
10,57,56-65,Male,Missouri,Midwest,Handbag,Accessories,M,Pink,Spring,31,4,Quarterly,4,4.8,Yes,1,2-Day Shipping,Cash,Yes,Yes,1,124,Bronze,0.19025641025641027,0.058823529411764705,4,0.061224489795918366,1,0.8835534213685474,High,0.38907563025210085,0.2800120048019208,0.38907563025210085,Casual Browsers
11,53,46-55,Male,Arkansas,South,Shoes,Footwear,L,Purple,Fall,34,26,Bi-Weekly,26,4.1,Yes,1,Store Pickup,Bank Transfer,Yes,Yes,1,884,Gold,0.5920512820512821,0.49019607843137253,26,0.5102040816326531,1,0.24969987995198076,Medium,0.6756302521008403,0.5001000400160064,0.6756302521008403,Champions
12,30,26-35,Male,Hawaii,West,Shorts,Clothing,S,Olive,Winter,68,26,Fortnightly,10,4.9,Yes,1,Store Pickup,Bank Transfer,Yes,Yes,1,1768,Platinum,0.7753846153846153,0.49019607843137253,10,0.1836734693877551,1,0.41616646658663464,Medium,0.561344537815126,0.4184673869547819,0.561344537815126,Champions
13,61,56-65,Male,Delaware,South,Coat,Outerwear,M,Gold,Winter,72,26,Fortnightly,37,4.5,Yes,1,Express,Venmo,Yes,Yes,1,1872,Platinum,0.7948717948717948,0.49019607843137253,37,0.7346938775510204,1,0.13525410164065624,Low,0.7542016806722689,0.5562224889955982,0.7542016806722689,Champions
14,65,56-65,Male,New Hampshire,Northeast,Dress,Clothing,M,Violet,Spring,51,52,Weekly,31,4.7,Yes,1,Express,PayPal,Yes,Yes,1,2652,Platinum,0.9202564102564103,1.0,31,0.6122448979591837,1,0.0,Low,0.8642857142857142,0.6530612244897959,0.8642857142857142,Champions
15,64,56-65,Male,New York,Northeast,Coat,Outerwear,L,Teal,Winter,53,52,Weekly,34,4.7,Yes,1,Free Shipping,Debit Card,Yes,Yes,1,2756,Platinum,0.9232051282051282,1.0,34,0.673469387755102,1,0.0,Low,0.8857142857142858,0.6683673469387755,0.8857142857142858,Champions
16,64,56-65,Male,Rhode Island,Northeast,Skirt,Clothing,M,Teal,Winter,81,12,Monthly,8,2.8,Yes,1,Store Pickup,PayPal,Yes,Yes,1,972,Gold,0.6197435897435898,0.21568627450980393,8,0.14285714285714285,0,0.6722689075630253,High,0.2647058823529412,0.1896358543417367,0.2647058823529412,Discount Hunters
17,25,18-25,Male,Alabama,South,Sunglasses,Accessories,S,Gray,Spring,36,26,Bi-Weekly,44,4.1,Yes,1,Next Day Air,Debit Card,Yes,Yes,1,936,Gold,0.6066666666666667,0.49019607843137253,44,0.8775510204081632,1,0.0624249699879952,Low,0.8042016806722688,0.5919367747098839,0.8042016806722688,Champions
18,53,46-55,Male,Mississippi,South,Dress,Clothing,XL,Lavender,Winter,38,4,Quarterly,36,4.7,Yes,1,2-Day Shipping,Venmo,Yes,Yes,1,152,Bronze,0.2194871794871795,0.058823529411764705,36,0.7142857142857143,1,0.2689075630252101,Medium,0.6176470588235294,0.4432773109243697,0.6176470588235294,Loyal Regulars
19,52,46-55,Male,Montana,West,Sweater,Clothing,S,Black,Summer,48,52,Weekly,17,4.6,Yes,1,Free Shipping,Cash,Yes,Yes,1,2496,Platinum,0.8991025641025641,1.0,17,0.32653061224489793,1,0.0,Low,0.7642857142857143,0.5816326530612245,0.7642857142857143,Champions
20,66,66-70,Male,Rhode Island,Northeast,Pants,Clothing,M,Green,Summer,90,26,Bi-Weekly,46,3.3,Yes,1,Standard,Debit Card,Yes,Yes,1,2340,Platinum,0.8710256410256411,0.49019607843137253,46,0.9183673469387755,0,0.04161664665866345,Low,0.6184873949579831,0.452140856342537,0.6184873949579831,Champions
21,21,18-25,Male,Louisiana,South,Pants,Clothing,M,Black,Winter,51,4,Every 3 Months,50,2.8,Yes,1,Express,Cash,Yes,Yes,1,204,Silver,0.2614102564102564,0.058823529411764705,50,1.0,0,0.0,Low,0.5176470588235293,0.3647058823529412,0.5176470588235293,At-Risk
22,31,26-35,Male,North Carolina,South,Pants,Clothing,M,Charcoal,Winter,62,4,Quarterly,22,4.1,Yes,1,Store Pickup,Debit Card,Yes,Yes,1,248,Silver,0.2988461538461539,0.058823529411764705,22,0.42857142857142855,1,0.5378151260504201,High,0.5176470588235295,0.37184873949579833,0.5176470588235295,Casual Browsers
23,56,56-65,Male,California,West,Pants,Clothing,M,Peach,Summer,37,1,Annually,32,3.2,Yes,1,Store Pickup,Debit Card,Yes,Yes,1,37,Bronze,0.032692307692307694,0.0,32,0.6326530612244898,0,0.36734693877551017,Medium,0.37142857142857144,0.25816326530612244,0.37142857142857144,At-Risk
24,31,26-35,Male,Oklahoma,South,Pants,Clothing,XL,White,Winter,88,52,Weekly,40,4.4,Yes,1,Express,Credit Card,Yes,Yes,1,4576,Platinum,0.9787179487179487,1.0,40,0.7959183673469388,1,0.0,Low,0.9285714285714285,0.6989795918367346,0.9285714285714285,Champions
25,18,18-25,Male,Florida,South,Jacket,Outerwear,M,Green,Fall,22,52,Weekly,16,2.9,Yes,1,Store Pickup,Debit Card,Yes,Yes,1,1144,Gold,0.6652564102564102,1.0,16,0.30612244897959184,0,0.0,Low,0.5571428571428572,0.42653061224489797,0.5571428571428572,Champions
26,18,18-25,Male,Texas,South,Hoodie,Clothing,M,Silver,Summer,25,1,Annually,14,3.6,Yes,1,Express,PayPal,Yes,Yes,1,25,Bronze,0.009743589743589744,0.0,14,0.2653061224489796,0,0.7346938775510203,High,0.24285714285714285,0.1663265306122449,0.24285714285714285,Discount Hunters
27,38,36-45,Male,Nevada,West,Jewelry,Accessories,M,Red,Spring,20,1,Annually,13,3.6,Yes,1,Next Day Air,Credit Card,Yes,Yes,1,20,Bronze,0.001153846153846154,0.0,13,0.24489795918367346,0,0.7551020408163265,High,0.2357142857142857,0.16122448979591836,0.2357142857142857,Discount Hunters
